name,num_patterns,log_patterns,num_classes,num_features,log_features,num_patterns_with_missing_values,perc_patterns_with_missing_values,num_features_with_missing_values,perc_features_with_missing_values,num_missing_values,perc_missing_values,num_numerical,num_categorical,ratio_num_cat,ratio_cat_num,dataset_dimensionality,dataset_dimensionality_log,inverse_dataset_dimensionality,inverse_dataset_dimensionality_log,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,class_entropy,categorical_min,categorical_max,categorical_mean,categorical_std,categorical_total,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,skewness_min,skewness_max,skewness_mean,skewness_std,pca_95_index,pca_skewness,pca_kurtosis
breast-cancer-wisc,699,9.449148645375436,2,9,3.169925001442312,0,0.0,0,0.0,0,0.0,9,0,1,0.0,9,3.169925001442312,0.1111111111111111,0.31546487678572877,0.3447782546494993,0.6552217453505007,0.5,0.21951669744990102,0.9293179372497982,0,0,0.0,0.0,0,-0.7334141250322768,12.65787229995842,1.691383661689908,4.2034412231803495,0.5928568726864789,3.560657042242602,1.4803324412657093,0.8439196596974268,7,0.9294445575275246,-0.5985263837243284
breast-cancer-wisc-diag,569,9.152284842306582,2,30,4.906890595608519,0,0.0,0,0.0,0,0.0,30,0,1,0.0,30,4.906890595608519,0.03333333333333333,0.2037950470905062,0.37258347978910367,0.6274165202108963,0.5,0.18019417095263515,0.9526351224018599,0,0,0.0,0.0,0,-0.5355351258449481,49.20874809040286,7.814733777873741,12.875091736814536,0.41542681005783494,5.447166321280845,1.7404066302791383,1.278728686013223,10,0.9328189695086708,0.3728033110070026
breast-cancer-wisc-prog,198,7.6293566200796095,2,33,5.044394119358453,0,0.0,0,0.0,0,0.0,33,0,1,0.0,33,5.044394119358453,0.030303030303030304,0.19823986317056053,0.23737373737373738,0.7626262626262627,0.5,0.37140962244141895,0.790645551054681,0,0,0.0,0.0,0,-0.8088498314419281,26.469762471672215,2.7463097704320134,4.686029249289035,-0.14784539291640172,3.905349953333348,1.122591465859304,0.7762420657939924,12,0.6728250251040144,0.20683839525300884
breast-tissue,106,6.727920454563199,6,9,3.169925001442312,0,0.0,0,0.0,0,0.0,9,0,1,0.0,9,3.169925001442312,0.1111111111111111,0.31546487678572877,0.1320754716981132,0.20754716981132076,0.16666666666666666,0.030811191733121742,2.5646078191172523,0,0,0.0,0.0,0,-0.2290499217112334,63.33471783464093,10.262757329420388,20.31155256449622,0.8910286353881797,7.2702086974741755,2.2860208442089713,1.9816161011740183,4,1.3916412532583173,1.3354864187436744
car,1728,10.754887502163468,4,6,2.584962500721156,0,0.0,0,0.0,0,0.0,6,0,1,0.0,6,2.584962500721156,0.16666666666666666,0.38685280723454163,0.03761574074074074,0.7002314814814815,0.25,0.31236529732861545,1.2057409700121753,0,0,0.0,0.0,0,-1.500869061413673,-1.1541514267442352,-1.396281096710206,0.13711924386799854,-0.4350322063143113,0.0,-0.07250536771905187,0.17760115452454014,6,-8.694776863552207e-17,-0.7447842572545009
cardiotocography-10clases,2126,11.053925881531105,10,21,4.392317422778761,0,0.0,0,0.0,0,0.0,21,0,1,0.0,21,4.392317422778761,0.047619047619047616,0.227670248696953,0.02492944496707432,0.27234242709313267,0.1,0.08207275433163867,2.913356388291818,0,0,0.0,0.0,0,-1.2904226501869944,299.4241424744996,21.28526682986016,65.54447899589739,-0.9951785021311543,17.35345685539678,2.1127966569671077,4.059590762400484,11,0.03990558371602292,-0.7717353380483307
cardiotocography-3clases,2126,11.053925881531105,3,21,4.392317422778761,0,0.0,0,0.0,0,0.0,21,0,1,0.0,21,4.392317422778761,0.047619047619047616,0.227670248696953,0.08278457196613359,0.7784571966133584,0.3333333333333333,0.38650317318772354,0.9742047584181182,0,0,0.0,0.0,0,-1.2904226501869944,299.4241424744996,21.28526682986016,65.54447899589739,-0.9951785021311543,17.35345685539678,2.1127966569671077,4.059590762400484,11,0.03990558371602292,-0.7717353380483307
chess-krvkp,3196,11.642051692927977,2,36,5.169925001442312,0,0.0,0,0.0,0,0.0,36,0,1,0.0,36,5.169925001442312,0.027777777777777776,0.19342640361727081,0.47778473091364204,0.522215269086358,0.5,0.03141713483369518,0.9985755386554581,0,0,0.0,0.0,0,-1.9769837114360715,3195.999999999994,111.17104576270964,532.251296736754,-1.0580794964552067,56.533176100410245,4.445085630275178,9.793196531735797,24,0.18235076810302805,-1.191847613330719
congressional-voting,435,8.76487159073609,2,16,4.0,0,0.0,0,0.0,0,0.0,16,0,1,0.0,16,4.0,0.0625,0.25,0.38620689655172413,0.6137931034482759,0.5,0.16092775020107633,0.9623080486960709,0,0,0.0,0.0,0,-0.4950184132237072,57.83561492305371,22.3577777639423,14.599528966677376,1.2277128106370214,7.718142420336654,4.67736642369711,1.592397545232624,13,2.25088785992971,7.4016318345996055
conn-bench-sonar-mines-rocks,208,7.700439718141092,2,60,5.906890595608519,0,0.0,0,0.0,0,0.0,60,0,1,0.0,60,5.906890595608519,0.016666666666666666,0.16929380759878143,0.46634615384615385,0.5336538461538461,0.5,0.047593725656786844,0.9967295890208365,0,0,0.0,0.0,0,-1.2101043769505075,20.736131366682844,2.276776902788938,4.298357671132804,-0.7889086686497085,3.401698776879237,0.9672196762243274,0.9532163385768209,28,-0.24292177116617297,-0.5832912100832788
conn-bench-vowel-deterding,990,9.951284714966972,11,11,3.4594316186372973,0,0.0,0,0.0,0,0.0,11,0,1,0.0,11,3.4594316186372973,0.09090909090909091,0.2890648263178879,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,3.4594316186372978,0,0,0.0,0.0,0,-1.9649780649095963,0.24887375254555533,-0.5298864453151674,0.557442795441882,-0.28243191684526675,0.3430469419067528,0.03242068154300138,0.19351849608395455,8,0.12970865942439008,-1.8755502823681636
contrac,1473,10.524541715035848,3,9,3.169925001442312,0,0.0,0,0.0,0,0.0,9,0,1,0.0,9,3.169925001442312,0.1111111111111111,0.31546487678572877,0.22606924643584522,0.4270196877121521,0.3333333333333333,0.10116094146234016,1.5390345832497476,0,0,0.0,0.0,0,-1.3249879384735055,8.627000003255937,0.9309261545387721,3.1047938576197724,-1.969500300035403,3.258111159461171,-0.13558198328755702,1.56139791475169,8,-0.22286112902636368,-0.49667092610624497
credit-approval,690,9.430452551665532,2,15,3.9068905956085187,0,0.0,0,0.0,0,0.0,15,0,1,0.0,15,3.9068905956085187,0.06666666666666667,0.2559580248098155,0.4449275362318841,0.5550724637681159,0.5,0.07788422517417042,0.9912308989033521,0,0,0.0,0.0,0,-1.9971378336902235,214.6697640200887,20.003622119803634,55.56997018283216,-0.807942639001048,13.140648859466802,2.1693973441199157,3.419324491215064,9,-0.06269068358578271,-1.5120766391520726
cylinder-bands,512,9.0,2,35,5.129283016944966,0,0.0,0,0.0,0,0.0,35,0,1,0.0,35,5.129283016944966,0.02857142857142857,0.1949590218937863,0.390625,0.609375,0.5,0.15467960838455727,0.9652016987500656,0,0,0.0,0.0,0,-1.9396033888332842,215.7995831093524,20.64974209563515,44.12838480336835,-14.250777290763448,11.851186767066448,-0.4059648426429204,4.360960039437625,20,0.1410926443248269,-1.5171724483113689
dermatology,366,8.515699838284043,6,34,5.087462841250339,0,0.0,0,0.0,0,0.0,34,0,1,0.0,34,5.087462841250339,0.029411764705882353,0.1965616322328226,0.0546448087431694,0.30601092896174864,0.16666666666666666,0.08312479505926303,2.4325972738896064,0,0,0.0,0.0,0,-1.4155945077325087,23.452420468982922,2.50353024002266,5.5177121432870715,-0.3934885165799631,4.778513746765291,1.4016504474458162,1.2965915085253852,22,-0.254555211200799,-0.7019610422780507
echocardiogram,131,7.03342300153745,2,10,3.321928094887362,0,0.0,0,0.0,0,0.0,10,0,1,0.0,10,3.321928094887362,0.1,0.3010299956639812,0.3282442748091603,0.6717557251908397,0.5,0.24289927598011177,0.9131224909094169,0,0,0.0,0.0,0,-0.4493893622611531,9.246356607692883,2.8762504969281575,3.306062316171628,-2.5797930405388603,1.6569072427652274,0.1148693155681628,1.4561014532822845,8,1.3505812754169662,0.735015042946312
ecoli,336,8.39231742277876,8,7,2.807354922057604,0,0.0,0,0.0,0,0.0,7,0,1,0.0,7,2.807354922057604,0.14285714285714285,0.3562071871080222,0.005952380952380952,0.4255952380952381,0.125,0.14505466838029737,2.188745583191225,0,0,0.0,0.0,0,-1.0447519375897831,335.99999999999994,51.976031460519735,125.72166219721046,-0.16595648432066956,18.330302779823363,3.605501007484494,6.79192907380191,5,0.2611618351037409,-0.9803392349500868
energy-y1,768,9.584962500721156,3,8,3.0,0,0.0,0,0.0,0,0.0,8,0,1,0.0,8,3.0,0.125,0.3333333333333333,0.17838541666666666,0.46875,0.3333333333333333,0.14616429149592916,1.4863167972691065,0,0,0.0,0.0,0,-2.0052287581699346,0.11659095588716806,-1.1586233695193655,0.6556418734479779,-0.16276459310484043,0.5334138527804257,0.07401165460274436,0.2777176547936243,5,0.07243616760511785,-1.8477549564005462
energy-y2,768,9.584962500721156,3,8,3.0,0,0.0,0,0.0,0,0.0,8,0,1,0.0,8,3.0,0.125,0.3333333333333333,0.24609375,0.4986979166666667,0.3333333333333333,0.1432824238107741,1.5011776432971693,0,0,0.0,0.0,0,-2.0052287581699346,0.11659095588716806,-1.1586233695193655,0.6556418734479779,-0.16276459310484043,0.5334138527804257,0.07401165460274436,0.2777176547936243,5,0.07243616760511785,-1.8477549564005462
fertility,100,6.643856189774724,2,9,3.169925001442312,0,0.0,0,0.0,0,0.0,9,0,1,0.0,9,3.169925001442312,0.1111111111111111,0.31546487678572877,0.12,0.88,0.5,0.5374011537017761,0.5293608652873644,0,0,0.0,0.0,0,-2.0395534607699592,3.0515977344477663,-0.270077295159304,1.61658825771007,-2.234045113605476,0.7756221831567919,-0.04385786248631301,0.9636436508121411,8,0.057662406303070575,-1.149362614626204
flags,194,7.599912842187128,8,28,4.807354922057604,0,0.0,0,0.0,0,0.0,28,0,1,0.0,28,4.807354922057604,0.03571428571428571,0.20801459767650948,0.020618556701030927,0.30927835051546393,0.12499999999999999,0.10385396459487134,2.5463397438548068,0,0,0.0,0.0,0,-2.019196511825335,82.04836073661119,11.164950618859967,23.503639883023688,-1.4251437405615772,8.569588010963473,2.0701271305148654,2.506856466932701,18,0.6598377063915655,-0.3081310881032593
glass,214,7.741466986401147,6,9,3.169925001442312,0,0.0,0,0.0,0,0.0,9,0,1,0.0,9,3.169925001442312,0.1111111111111111,0.31546487678572877,0.04205607476635514,0.35514018691588783,0.16666666666666663,0.13898760091092968,2.1765339923982006,0,0,0.0,0.0,0,-0.4103174132581917,54.68973125200494,9.908545205922705,17.187305818709756,-1.1525601127159635,6.5516505210282725,1.652594272164201,2.3134927320190335,6,-1.1777275504971667,-0.2533621204438874
haberman-survival,306,8.257387842692651,2,3,1.584962500721156,0,0.0,0,0.0,0,0.0,3,0,1,0.0,3,1.584962500721156,0.3333333333333333,0.6309297535714575,0.2647058823529412,0.7352941176470589,0.5,0.3327561323230812,0.833764907210665,0,0,0.0,0.0,0,-1.118824688511397,11.73087161215162,3.3408844903274377,7.270762496922593,0.07875251847758113,2.9838228360686387,1.0696932551018745,1.6580309464168461,3,0.08359170355109445,-1.127656623824381
hayes-roth,160,7.321928094887363,3,3,1.584962500721156,0,0.0,0,0.0,0,0.0,3,0,1,0.0,3,1.584962500721156,0.3333333333333333,0.6309297535714575,0.19375,0.40625,0.3333333333333333,0.12092309884109542,1.5154656357070957,0,0,0.0,0.0,0,-0.499111104548152,-0.499111104548152,-0.499111104548152,0.0,0.647060290618176,0.6470602906181762,0.647060290618176,7.850462293418876e-17,3,1.1153639339246253,0.6764672650873806
heart-cleveland,303,8.243173983472952,5,13,3.700439718141092,0,0.0,0,0.0,0,0.0,13,0,1,0.0,13,3.700439718141092,0.07692307692307693,0.27023815442731974,0.0429042904290429,0.5412541254125413,0.19999999999999998,0.19698021944692468,1.845942184852313,0,0,0.0,0.0,0,-1.9993306558368678,4.491727508995126,0.07577106216880687,1.8102739633611034,-0.8417550047663702,1.9866519309144517,0.41547500160867595,0.8684591125449921,10,0.26928338786378125,-0.8846895615594255
heart-hungarian,294,8.199672344836364,2,12,3.584962500721156,0,0.0,0,0.0,0,0.0,12,0,1,0.0,12,3.584962500721156,0.08333333333333333,0.27894294565112987,0.36054421768707484,0.6394557823129252,0.5,0.1972202586982888,0.9431340036829803,0,0,0.0,0.0,0,-1.4222976463563404,9.961947748524121,2.499488919606998,4.01747859607909,-1.010104356017189,3.4488004087045896,0.7229339052384679,1.4994435078315596,9,0.638594681539988,-1.0653962502907517
heart-switzerland,123,6.94251450533924,5,12,3.584962500721156,0,0.0,0,0.0,0,0.0,12,0,1,0.0,12,3.584962500721156,0.08333333333333333,0.27894294565112987,0.04065040650406504,0.3902439024390244,0.2,0.1460702093104111,1.9758920795074686,0,0,0.0,0.0,0,-1.9704182802997026,27.664051333490484,5.639721145796693,9.3337068022269,-3.102023643776658,5.294275380145654,0.3044829246388745,2.5175237010960974,10,0.16722525661007287,-1.4591359425051602
heart-va,200,7.643856189774724,5,12,3.584962500721156,0,0.0,0,0.0,0,0.0,12,0,1,0.0,12,3.584962500721156,0.08333333333333333,0.27894294565112987,0.05,0.28,0.2,0.08951256894984079,2.1745471249212494,0,0,0.0,0.0,0,-2.010024291616597,29.116958480085792,2.0195750136493875,8.630564260711177,-5.552105435821209,1.905183565842845,-0.43088945293976905,1.8569296002415305,9,-0.1378632294470823,-1.4543828001348178
hepatitis,155,7.2761244052742375,2,19,4.247927513443585,0,0.0,0,0.0,0,0.0,19,0,1,0.0,19,4.247927513443585,0.05263157894736842,0.23540891336663824,0.2064516129032258,0.7935483870967742,0.5,0.41514011024500536,0.7346451526501956,0,0,0.0,0.0,0,-1.987251866690949,13.990104826295243,2.293215661051879,4.23784910516358,-2.6087838125154508,3.1597544516689005,-0.29963851950716164,1.744202850463526,15,0.4189888987943257,-0.5531945473974438
hill-valley,1212,10.243173983472952,2,100,6.643856189774724,0,0.0,0,0.0,0,0.0,100,0,1,0.0,100,6.643856189774724,0.01,0.1505149978319906,0.5,0.5,0.5,0.0,1.0,0,0,0.0,0.0,0,19.78660304209226,29.285706402310826,22.42189854589199,1.5286997151459483,4.267612868005033,4.841159633828575,4.454459264783607,0.09762736034687178,1,4.393096159675155,21.49878946463566
horse-colic,368,8.523561956057012,2,25,4.643856189774724,0,0.0,0,0.0,0,0.0,25,0,1,0.0,25,4.643856189774724,0.04,0.21533827903669653,0.3695652173913043,0.6304347826086957,0.5,0.18446263857040374,0.9503376699710268,0,0,0.0,0.0,0,-1.6183944319958985,130.54977659450387,11.980306847800854,31.381446687735828,-0.5334278593334515,11.382185498661265,2.0567662592522002,2.738448253160771,18,1.2791364066715105,0.8998099966297342
ilpd-indian-liver,583,9.187352073200497,2,9,3.169925001442312,0,0.0,0,0.0,0,0.0,9,0,1,0.0,9,3.169925001442312,0.1111111111111111,0.31546487678572877,0.2864493996569468,0.7135506003430532,0.5,0.30200615525806235,0.8640904272487622,0,0,0.0,0.0,0,-0.5600669428699687,150.92072606643077,30.024798773922605,48.80792477148052,-0.2856721086463042,10.546207778701138,3.269682413828293,3.660757042179496,6,-0.043227168485212734,-0.37410957288881574
image-segmentation,2310,11.17367713630342,7,18,4.169925001442312,0,0.0,0,0.0,0,0.0,18,0,1,0.0,18,4.169925001442312,0.05555555555555555,0.23981246656813146,0.14285714285714285,0.14285714285714285,0.14285714285714282,2.997944808332385e-17,2.807354922057604,0,0,0.0,0.0,0,-1.2459870174052767,371.0320929985108,65.31126845995318,123.4573473281903,-0.9707828204006075,17.35683476862697,4.366949326212944,6.175534283725559,6,1.0908326491502707,0.07797102178377369
ionosphere,351,8.45532722030456,2,33,5.044394119358453,0,0.0,0,0.0,0,0.0,33,0,1,0.0,33,5.044394119358453,0.030303030303030304,0.19823986317056053,0.358974358974359,0.6410256410256411,0.5,0.19944037418082114,0.9418285354475157,0,0,0.0,0.0,0,-0.6709232208655709,4.438264794872245,0.36112714390752837,1.093361792316226,-2.532391692773497,0.11264972740916854,-0.5844740191505452,0.6487619908602067,24,-0.2667155132914332,-1.2559600047425101
iris,150,7.22881869049588,3,4,2.0,0,0.0,0,0.0,0,0.0,4,0,1,0.0,4,2.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.584962500721156,0,0,0.0,0.0,0,-1.4019197413372293,0.2907787417775123,-0.7507398412348891,0.7948172978733081,-0.2744637704600555,0.3340526995985708,0.06737603576809609,0.30493512405792056,2,-0.21442920945632174,-1.3999677387736722
led-display,1000,9.965784284662087,10,7,2.807354922057604,0,0.0,0,0.0,0,0.0,7,0,1,0.0,7,2.807354922057604,0.14285714285714285,0.3562071871080222,0.084,0.111,0.1,0.007803133273813083,3.3179244604883187,0,0,0.0,0.0,0,-1.8755056650276247,1.0986517981928583,-0.9905346325178283,1.07371492319256,-1.7596756787003331,0.358119194995183,-0.7838267531761202,0.6806201167703679,7,-0.4853184959867115,-0.7783449685733816
lenses,24,4.584962500721156,3,4,2.0,0,0.0,0,0.0,0,0.0,4,0,1,0.0,4,2.0,0.25,0.5,0.16666666666666666,0.625,0.3333333333333333,0.2534484387624258,1.3260875253642983,0,0,0.0,0.0,0,-2.1904761904761902,-1.5681818181818181,-2.034902597402597,0.31114718614718606,0.0,0.0,0.0,0.0,4,0.0,-0.9458874458874456
libras,360,8.491853096329674,15,90,6.491853096329675,0,0.0,0,0.0,0,0.0,90,0,1,0.0,90,6.491853096329675,0.011111111111111112,0.15403922195426356,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,3.906890595608518,0,0,0.0,0.0,0,-1.0273185042289759,-0.24547691707676655,-0.7081788857803606,0.1942937213002664,-0.46732162149292256,0.191995414399753,-0.18738160478691943,0.17192193154004531,9,-0.454828193612397,-0.9772872551108369
low-res-spect,531,9.052568050804153,9,100,6.643856189774724,0,0.0,0,0.0,0,0.0,100,0,1,0.0,100,6.643856189774724,0.01,0.1505149978319906,0.003766478342749529,0.519774011299435,0.1111111111111111,0.17002166515366499,1.9494968567570696,0,0,0.0,0.0,0,-1.1756728015134401,298.2293298939492,8.728857308013524,29.646584925324177,-1.7672940107410215,15.423150386010308,1.1151782327544486,2.2947788513994514,7,2.4227947597174158,6.45482143092364
lung-cancer,32,5.0,3,56,5.807354922057604,0,0.0,0,0.0,0,0.0,56,0,1,0.0,56,5.807354922057604,0.017857142857142856,0.17219543379409813,0.28125,0.40625,0.3333333333333333,0.06505206248331666,1.5670524281972302,0,0,0.0,0.0,0,-2.0632731253420906,32.0,1.6884155029163563,5.297439340809835,-2.380876189257104,5.65685424949238,0.15834911271506893,1.451622028808998,21,-0.9341112824858083,0.19624178584649155
lymphography,148,7.20945336562895,4,18,4.169925001442312,0,0.0,0,0.0,0,0.0,18,0,1,0.0,18,4.169925001442312,0.05555555555555555,0.23981246656813146,0.013513513513513514,0.5472972972972973,0.24999999999999997,0.2710012637021669,1.2276775019465804,0,0,0.0,0.0,0,-2.026830316873839,29.749468223686627,2.4785799589542403,8.337359936952302,-1.4426512046796574,5.4423619459318235,0.7558812290288617,1.8805034022012108,14,0.3216569927691233,-0.4275369935333808
mammographic,961,9.90839262077375,2,5,2.321928094887362,0,0.0,0,0.0,0,0.0,5,0,1,0.0,5,2.321928094887362,0.2,0.43067655807339306,0.4630593132154006,0.5369406867845994,0.5,0.052242020254157015,0.9960589654112922,0,0,0.0,0.0,0,-1.560325209459861,666.596227314532,133.7053816238334,297.90553465257756,-2.413619279405381,23.449516776549206,4.071402248513273,10.87483477112997,4,-0.08276807961983941,-1.5427226174972173
molec-biol-promoter,106,6.727920454563199,2,57,5.832890014164741,0,0.0,0,0.0,0,0.0,57,0,1,0.0,57,5.832890014164741,0.017543859649122806,0.17144160057391347,0.5,0.5,0.5,0.0,1.0,0,0,0.0,0.0,0,-1.6430306897551121,-0.38910063023099495,-1.3623561837247962,0.19927775761295224,-0.6388861631948428,0.4853278830059757,-0.03682014787341874,0.2506714337094808,43,-0.18290868179182915,-0.3045819964048446
molec-biol-splice,3190,11.639340708652231,3,60,5.906890595608519,0,0.0,0,0.0,0,0.0,60,0,1,0.0,60,5.906890595608519,0.016666666666666666,0.16929380759878143,0.24043887147335424,0.5188087774294671,0.3333333333333333,0.16062652283904474,1.4801700696136337,0,0,0.0,0.0,0,-1.3833740305673017,-0.26105119580932046,-1.2639888958098764,0.16423983086883465,-0.6681088461039856,0.6766489815887653,-0.018707322600318425,0.16834071995480804,55,0.15796396281250885,-0.004987330839473003
monks-1,556,9.118941072723507,2,6,2.584962500721156,0,0.0,0,0.0,0,0.0,6,0,1,0.0,6,2.584962500721156,0.16666666666666666,0.38685280723454163,0.5,0.5,0.5,0.0,1.0,0,0,0.0,0.0,0,-1.4493496026617856,-0.9365096308345411,-1.1453852321373548,0.2139820504378266,-0.09604564041601102,0.04663930640537721,-0.01259747721989306,0.05777466065258831,6,0.6300449156585383,-0.4248869464131899
monks-2,601,9.231221180711186,2,6,2.584962500721156,0,0.0,0,0.0,0,0.0,6,0,1,0.0,6,2.584962500721156,0.16666666666666666,0.38685280723454163,0.3427620632279534,0.6572379367720466,0.5,0.22236802270259148,0.9274373177990277,0,0,0.0,0.0,0,-1.509598846682735,-1.0409096108216467,-1.2493817362535589,0.2042233818952737,-0.25622861693692145,-0.11489680240001612,-0.18374332661635992,0.05779712015253705,6,0.2157346169786689,-0.830316172883216
monks-3,554,9.113742166049189,2,6,2.584962500721156,0,0.0,0,0.0,0,0.0,6,0,1,0.0,6,2.584962500721156,0.16666666666666666,0.38685280723454163,0.48014440433212996,0.51985559566787,0.5,0.028080052682498247,0.9988621511417834,0,0,0.0,0.0,0,-1.406396026956517,-0.8650886400647559,-1.1020592808701561,0.22543122020972386,-0.06982174142581936,0.08664013257944753,0.013243033571807429,0.0623622885004402,6,0.6514083958493724,-0.37623764613726696
mushroom,8124,12.987974524296153,2,21,4.392317422778761,0,0.0,0,0.0,0,0.0,21,0,1,0.0,21,4.392317422778761,0.047619047619047616,0.227670248696953,0.48202855736090594,0.517971442639094,0.5,0.025415457915616908,0.9990678968724603,0,0,0.0,0.0,0,-1.926846193463887,51.19144410763792,4.340417939873589,13.186805980341305,-6.946943967755659,2.701654574638106,-0.7465091259094215,2.2258300338986325,14,0.25280679869697575,-1.3197001384257308
musk-1,476,8.894817763307943,2,166,7.3750394313469245,0,0.0,0,0.0,0,0.0,166,0,1,0.0,166,7.3750394313469245,0.006024096385542169,0.13559249537698637,0.43487394957983194,0.5651260504201681,0.5,0.09210214376799566,0.9877270579926238,0,0,0.0,0.0,0,-1.5884802215795624,215.73856856773384,3.6622393823175003,22.26538392618449,-1.830697108464176,13.575322807743358,0.282418068277626,1.870152589015909,31,-0.508739059046864,-1.4360681067907444
