	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	clase
22	-0.538932	0.315085	0.378521	-0.688363	-0.355747	-0.958897	-0.855584	-0.945324	-0.120971	-1.22537	0.394706	4
23	-0.0649244	-0.180973	0.709045	-0.924953	0.147732	0.334678	-0.384974	-0.3435	1.86578	-0.0862809	-0.0115934	5
24	0.883091	3.88671	-1.60463	-0.964385	1.292	-0.606103	0.697428	-0.109457	-0.915669	0.176587	-0.986711	2
25	-0.301928	-0.0817616	0.626414	-1.00382	0.285045	-1.13529	0.0856355	0.358628	1.53465	-0.173903	-0.417892	3
26	0.172079	-0.280185	-0.117266	0.514305	0.0104195	1.21666	2.50928	0.492367	0.408829	0.0889643	-0.0928532	3
27	0.0535775	-0.379397	0.130627	-1.06296	0.285045	-0.018115	0.179757	-0.3435	1.73333	-0.436771	-0.417892	3
28	0.172079	0.0174502	0.461152	0.455157	0.239274	-0.194512	0.062105	0.692975	1.26975	0.351832	-0.0115934	3
29	0.646087	-0.0817616	1.20483	-1.04325	0.0561903	-1.07649	-0.149669	-0.878455	0.0114792	0.00134171	0.882265	3
30	0.409083	0.414297	0.213258	-0.865805	-0.584602	0.0994826	-0.573218	-1.14593	-0.584545	1.92904	1.45108	4
31	1.94961	-0.379397	0.461152	0.790327	-0.0811222	-0.900098	0.0856355	1.12763	0.0777041	0.351832	-0.417892	3
32	1.7126	-1.37151	0.0479962	-1.04325	-0.172664	-1.66448	-2.14976	-0.209761	1.86578	-0.787262	-0.255373	3
33	0.646087	-0.280185	0.213258	-0.855947	0.193503	-0.25331	-0.902645	-0.677847	0.0114792	-0.436771	0.232186	3
34	-0.775936	-1.56994	0.0479962	-0.964385	-0.0353514	0.452276	-0.502627	-0.0425879	1.53465	0.176587	-1.23049	3
35	-1.24994	-0.0817616	-1.10884	1.6874	-0.0811222	-0.7825	0.956263	0.72641	1.20353	-1.05013	-0.255373	2
36	0.527585	0.0174502	0.791676	-0.924953	1.56663	-0.841299	-0.361444	-1.17937	0.0114792	-0.612016	1.85738	2
37	-0.42043	1.10878	-0.860946	-0.195466	0.239274	-0.606103	0.250349	-0.209761	0.342604	-1.22537	-0.417892	2
38	0.172079	0.513509	-0.117266	-1.02353	0.330815	0.158281	-0.00848644	-1.14593	-0.38587	-1.83873	0.557225	3
39	0.527585	-0.379397	0.461152	2.27887	0.513899	0.569873	0.250349	1.96349	0.143929	-1.13775	-1.55553	2
40	0.527585	-0.379397	0.461152	2.27887	0.513899	0.569873	0.250349	1.96349	0.143929	-1.13775	-1.55553	2
41	-0.183426	-0.478608	0.461152	-0.767226	5.77755	1.62825	0.462123	-0.109457	-0.51832	-1.13775	-0.905451	3
42	-0.183426	-0.379397	0.461152	-0.688363	5.82332	1.62825	0.438593	-0.109457	-0.584545	-1.313	-0.905451	3
43	0.172079	0.315085	-0.613053	0.198851	1.06315	-0.429707	0.509184	0.458932	-0.38587	-0.261526	-0.580412	3
44	-0.301928	-0.379397	-0.530422	-0.984101	0.513899	-0.135713	0.32094	-0.209761	0.210154	0.6147	-0.824192	3
45	-0.183426	-0.478608	-0.613053	-0.984101	0.651211	-0.135713	0.368001	-0.209761	0.342604	0.6147	-0.824192	3
46	0.646087	-0.974667	-0.199897	-0.984101	0.55967	0.158281	0.673898	-0.310065	-0.187196	0.351832	-0.417892	4
47	-0.775936	1.70405	-0.613053	-0.392625	0.788524	1.62825	1.59159	-0.00915324	0.541278	0.264209	-0.580412	1
48	-0.775936	1.80326	-0.695684	-0.392625	0.925836	1.56945	1.61512	-0.0425879	0.408829	0.264209	-0.580412	2
49	0.172079	0.315085	-0.613053	0.198851	1.06315	-0.429707	0.509184	0.458932	-0.38587	-0.261526	-0.580412	3
50	0.0535775	-0.875455	0.130627	-0.274329	0.971607	-0.194512	0.273879	0.325194	1.1373	-0.0862809	-0.580412	2
51	0.409083	-0.875455	-0.199897	-0.944669	0.742753	-0.25331	0.81508	-0.778151	1.07108	-0.436771	0.963524	3
52	-0.301928	-0.280185	-0.365159	-1.04325	1.01738	0.21708	-0.337913	-0.878455	1.00485	0.789945	0.394706	4
53	-0.775936	-1.17309	-0.0346349	-1.04325	0.513899	-0.841299	-1.32619	-1.01219	0.872403	-0.261526	0.313446	4
54	-0.538932	-0.974667	0.130627	-1.06296	-0.0353514	0.21708	-0.714401	-0.978759	0.806178	-1.22537	0.313446	3
55	-0.0649244	-0.776244	2.11377	-1.08268	4.63327	0.158281	-0.149669	-0.3435	-0.915669	-0.962507	-1.14923	3
56	0.0535775	-0.280185	0.130627	-1.00382	-0.309976	-0.370908	1.23863	-1.07906	-0.38587	0.264209	0.394706	3
57	0.409083	-0.677032	0.0479962	1.08607	-0.126893	0.0994826	1.7563	0.72641	-0.65077	0.0889643	-0.742932	3
58	-1.01294	-0.875455	-0.613053	1.18464	0.101961	0.863868	0.203288	1.06076	0.739953	-1.13775	-1.31175	3
59	-0.301928	1.00957	-1.52199	-0.353193	-0.0811222	-0.606103	-1.42032	-0.310065	-0.51832	-0.962507	-0.255373	3
60	0.646087	-0.776244	0.213258	-1.02353	-0.355747	0.511075	-0.643809	-0.477239	1.1373	-1.313	-0.499152	3
61	-0.0649244	-0.57782	-0.778315	-0.294045	2.11588	-0.312109	-0.361444	0.358628	-1.04812	-0.261526	-1.55553	3
62	-1.01294	-0.875455	-0.613053	1.18464	0.101961	0.863868	0.203288	1.06076	0.739953	-1.13775	-1.31175	3
63	0.172079	1.90247	-2.18304	-1.04325	-0.49306	-1.07649	0.29741	-1.01219	-1.11434	-1.313	-0.0115934	2
64	-0.301928	1.00957	-1.52199	-0.353193	-0.0811222	-0.606103	-1.42032	-0.310065	-0.51832	-0.962507	-0.255373	3
65	0.409083	-0.379397	-0.530422	-0.984101	-0.355747	-0.25331	-0.384974	-0.443804	-0.25342	-0.261526	-0.174113	3
66	-0.775936	0.711932	-2.51357	-1.02353	0.834295	-0.370908	-0.432035	-0.209761	0.210154	0.439455	-1.14923	2
67	-0.538932	-0.180973	-0.778315	0.00169263	-0.264206	-0.488506	-0.337913	-1.24624	0.210154	0.00134171	1.69486	4
68	-0.183426	-0.280185	-1.68726	-1.02353	-0.218435	2.68663	0.838611	-0.677847	-0.319645	-0.612016	-0.580412	2
69	-0.183426	-0.478608	-0.199897	-0.84609	0.0104195	-0.312109	-0.996767	-0.477239	0.938628	1.31568	0.150926	5
70	0.646087	-0.379397	-0.365159	0.73118	0.193503	-0.841299	-0.784992	0.72641	-0.38587	-1.22537	-0.824192	2
71	-0.775936	-0.0817616	0.791676	0.277715	0.468128	0.74627	2.48574	0.525802	-0.584545	0.176587	-1.23049	3
72	-0.0649244	0.215874	-0.860946	-0.353193	0.696982	0.893267	2.35633	0.592671	0.872403	0.96519	-0.824192	2
73	-1.01294	-0.0817616	-0.44779	-0.313761	0.788524	-0.25331	1.47393	0.793279	3.32272	1.92904	-0.417892	2
74	2.06811	-0.478608	1.03957	-1.06296	0.376586	-1.54688	-1.5615	0.0242814	-1.57792	0.00134171	-1.14923	3
75	-0.183426	-0.478608	-0.199897	-0.84609	0.0104195	-0.312109	-0.996767	-0.477239	0.938628	1.31568	0.150926	5
76	0.646087	-0.379397	-0.365159	0.73118	0.193503	-0.841299	-0.784992	0.72641	-0.38587	-1.22537	-0.824192	2
77	0.290581	-0.974667	0.213258	-0.984101	-0.126893	-0.25331	-1.20854	-1.41341	0.475053	-1.05013	1.77612	4
78	0.172079	0.414297	0.0479962	-1.00382	-0.172664	-0.900098	-1.63209	-0.945324	0.806178	1.4033	1.2073	4
79	0.646087	-0.974667	-0.282528	0.474873	0.834295	-0.547305	-0.832053	0.692975	-1.64414	0.6147	-0.986711	2
80	-0.183426	2.59695	-0.44779	-0.195466	0.651211	-0.841299	-0.784992	0.291759	0.541278	-1.05013	-1.23049	2
81	-0.0649244	-0.57782	-0.199897	-0.984101	0.330815	-0.0769139	-0.573218	-0.376935	1.33598	2.45477	0.0696664	3
82	0.290581	-0.776244	0.0479962	1.89442	0.193503	0.922666	0.650367	1.49541	0.143929	0.96519	-1.06797	3
83	0.290581	0.61272	-1.10884	-0.057455	0.788524	0.687471	0.603306	0.191455	-0.120971	-0.612016	-0.417892	2
84	0.527585	-0.57782	-0.282528	0.356578	0.0561903	0.393477	1.61512	0.860148	0.938628	-0.261526	-0.824192	3
85	0.290581	1.50563	2.27904	1.06635	-0.0353514	1.09906	0.391532	1.12763	-0.51832	-0.349149	-1.47427	2
86	0.290581	1.60484	2.36167	1.06635	-0.0811222	0.981465	0.32094	1.16106	-0.452095	-0.261526	-1.47427	3
87	0.409083	1.10878	2.4443	0.908622	-0.0811222	1.15786	0.415062	1.12763	-0.65077	-0.436771	-1.47427	3
88	-0.0649244	-0.280185	-0.199897	1.36209	0.193503	1.98105	1.49746	1.06076	0.210154	-0.0862809	-0.661672	3
89	0.290581	1.50563	2.27904	1.06635	-0.0353514	1.09906	0.391532	1.12763	-0.51832	-0.349149	-1.47427	2
90	0.290581	1.60484	2.36167	1.06635	-0.0811222	0.981465	0.32094	1.16106	-0.452095	-0.261526	-1.47427	3
91	0.409083	1.10878	2.4443	0.908622	-0.0811222	1.15786	0.415062	1.12763	-0.65077	-0.436771	-1.47427	3
92	-0.894438	-0.0817616	0.791676	0.218567	0.147732	1.74585	2.46221	0.559236	-0.452095	-0.173903	-1.23049	2
93	0.0535775	-0.379397	-0.0346349	-0.924953	-0.49306	0.687471	-0.0555474	-1.34654	0.475053	-0.787262	1.69486	4
94	0.0535775	-0.677032	-0.0346349	-0.905237	-0.538831	0.74627	-0.0555474	-1.37997	0.408829	-0.699639	1.69486	4
95	0.764589	-1.07388	-0.117266	-0.924953	-0.264206	0.922666	0.226818	-0.811585	0.143929	-0.436771	0.801005	4
96	0.290581	-0.180973	-0.365159	1.18464	-0.0811222	1.56945	2.39162	0.960452	-0.981894	-0.612016	-1.06797	3
97	-1.01294	0.61272	2.69219	1.8747	0.0104195	-0.547305	0.603306	1.2948	-0.319645	0.0889643	-1.39301	3
98	2.06811	-0.131367	0.213258	-1.02353	-0.538831	-1.19409	-1.37325	-0.911889	-1.57792	-1.13775	0.719745	4
99	3.49013	0.811144	1.03957	0.810043	-0.355747	-1.84088	-1.30266	0.525802	-1.97527	-1.66349	-0.336633	1
100	-1.01294	0.61272	2.69219	1.8747	0.0104195	-0.547305	0.603306	1.2948	-0.319645	0.0889643	-1.39301	3
101	0.646087	-0.280185	0.29589	1.40152	0.651211	0.981465	1.26216	1.16106	-1.24679	-0.436771	-1.14923	2
102	0.290581	-1.56994	-0.117266	0.6326	0.376586	1.68705	0.556245	0.72641	1.4022	-0.699639	-0.905451	2
103	-1.01294	-0.677032	-0.778315	1.1255	0.193503	1.15786	0.603306	0.993887	1.00485	-0.874884	-0.905451	2
104	0.764589	0.265479	0.543783	2.46618	0.60544	0.511075	0.744489	1.99693	-1.31302	-0.261526	-1.23049	2
105	0.646087	-0.280185	0.29589	1.40152	0.651211	0.981465	1.26216	1.16106	-1.24679	-0.436771	-1.14923	2
106	0.527585	-1.47073	-0.117266	1.57896	0.239274	-0.0769139	-0.69087	1.12763	0.0777041	-1.22537	-1.06797	3
107	0.290581	-1.56994	-0.117266	0.6326	0.376586	1.68705	0.556245	0.72641	1.4022	-0.699639	-0.905451	2
108	0.290581	-0.478608	0.130627	1.99299	-0.264206	1.45186	0.76802	1.66258	-0.187196	0.877568	-1.14923	3
109	0.290581	-0.478608	0.130627	1.99299	-0.264206	1.45186	0.76802	1.66258	-0.187196	0.877568	-1.14923	3
110	0.0535775	0.513509	-0.44779	-1.00382	0.239274	0.0994826	1.14451	-0.443804	0.541278	0.96519	-0.174113	2
111	-0.42043	-1.07388	1.70062	0.415726	1.65817	1.68705	0.579776	0.626106	-1.97527	-0.874884	-1.39301	3
112	0.409083	-0.0817616	1.03957	2.4366	0.285045	0.569873	2.74458	1.99693	-0.981894	0.264209	-1.31175	2
113	0.409083	0.315085	1.37009	1.36209	0.468128	1.92225	1.33275	1.3951	-1.18057	-0.173903	-1.06797	2
114	-0.183426	1.3072	0.0479962	0.553737	0.147732	-0.370908	0.273879	0.927018	0.210154	0.176587	-1.14923	2
115	-0.183426	1.3072	0.0479962	0.553737	0.147732	-0.370908	0.273879	0.927018	0.210154	0.176587	-1.14923	2
116	-1.60545	2.05129	-2.76146	-0.964385	0.880066	-1.60568	-0.832053	-0.00915324	2.92537	-0.787262	-0.661672	1
117	-1.01294	0.315085	-0.778315	-0.609499	-0.218435	-0.606103	0.109166	-0.878455	0.806178	-0.436771	0.638485	3
118	0.172079	-1.37151	0.543783	-0.924953	-0.49306	-1.13529	-1.2556	-0.978759	0.0114792	-0.612016	1.04478	3
119	0.409083	0.315085	1.37009	1.36209	0.468128	1.92225	1.33275	1.3951	-1.18057	-0.173903	-1.06797	2
120	0.527585	0.414297	1.20483	1.36209	0.651211	1.27546	1.35628	1.3951	-0.981894	0.0889643	-1.06797	2
121	-1.13144	0.811144	-2.43094	-0.136318	0.0104195	-0.841299	-1.20854	-0.209761	0.210154	0.176587	-0.255373	2
122	1.12009	-0.379397	-0.117266	1.14521	0.376586	0.393477	-0.00848644	1.46197	-1.18057	0.439455	-1.39301	2
123	0.646087	-1.17309	-0.199897	0.090414	0.60544	-0.25331	-0.1732	0.392063	0.673728	-1.313	-0.661672	2
124	0.0535775	-0.875455	-0.44779	-0.274329	0.55967	-1.25289	0.179757	0.392063	0.673728	-1.13775	-1.14923	3
125	-0.538932	-1.47073	1.1222	-0.944669	2.11588	0.275879	0.462123	-0.410369	0.143929	-1.13775	-0.580412	3
126	-0.183426	-0.875455	0.213258	-1.04325	-0.904997	1.62825	0.109166	-0.945324	0.541278	-0.0862809	0.394706	3
127	0.646087	1.10878	-0.860946	0.119988	-0.584602	-0.370908	-0.290852	-0.00915324	-0.319645	-0.612016	-0.0115934	2
128	-0.42043	-0.379397	-0.117266	0.238283	-0.355747	0.74627	1.52099	0.592671	1.73333	0.439455	-0.661672	4
129	-0.894438	0.215874	1.86588	-0.708078	-0.0811222	0.687471	0.956263	-0.544108	0.739953	0.702322	0.313446	4
130	-0.894438	0.215874	1.86588	-0.727794	0.0104195	0.628672	1.07392	-0.544108	0.806178	0.702322	0.313446	3
131	-1.36845	-0.180973	-0.695684	0.790327	-1.17962	-1.66448	-1.91446	-0.00915324	1.33598	-1.05013	0.0696664	2
132	-0.42043	-0.379397	-0.117266	0.238283	-0.355747	0.74627	1.52099	0.592671	1.73333	0.439455	-0.661672	4
133	-0.42043	1.45602	0.543783	1.32266	-0.355747	1.39306	2.41515	1.2948	0.276379	0.702322	-1.23049	2
134	-0.301928	-0.379397	-0.530422	1.85498	-0.49306	0.628672	1.16804	1.3951	0.342604	0.176587	-1.06797	2
135	-0.0649244	-0.0817616	-0.943577	0.336862	-0.538831	1.15786	1.52099	0.692975	0.0114792	0.264209	-1.31175	2
136	-0.183426	-0.0817616	-0.199897	1.83527	-0.447289	0.511075	0.956263	1.2948	0.475053	0.6147	-0.742932	2
137	1.5941	-0.478608	0.543783	-1.02353	-0.859227	0.0406838	-0.408505	-0.677847	-0.452095	-0.962507	0.150926	3
138	0.290581	0.910356	2.77482	0.810043	-0.0353514	0.805069	0.391532	1.16106	-0.187196	-0.436771	-1.47427	2
139	-0.0649244	-0.875455	0.213258	-0.885521	-0.49306	-0.312109	-0.996767	-0.778151	-0.25342	0.439455	0.232186	4
140	1.4756	0.0174502	0.461152	-0.885521	-0.767685	-1.0177	-1.39678	-0.577543	0.276379	0.264209	1.04478	3
141	-0.657434	0.315085	0.0479962	-0.826374	-0.0353514	-0.900098	-1.44385	-0.443804	0.739953	-0.524394	-0.255373	2
142	0.290581	0.910356	2.77482	0.810043	-0.0353514	0.805069	0.391532	1.16106	-0.187196	-0.436771	-1.47427	2
143	1.2386	-0.677032	0.543783	-1.02353	-0.309976	0.158281	-0.737931	-0.677847	0.143929	0.439455	0.232186	3
144	1.94961	-0.677032	0.626414	-0.412341	-0.447289	-0.664902	-0.926175	0.224889	-0.0547457	0.351832	-0.661672	3
145	1.4756	-0.776244	0.543783	-0.865805	-0.401518	-0.958897	-1.20854	-0.644412	-0.452095	0.439455	0.557225	3
146	-0.657434	-0.230579	0.29589	-1.04325	-0.264206	0.0994826	-0.573218	-1.17937	-1.24679	-0.874884	0.313446	3
147	-1.48695	-1.17309	-0.530422	-0.984101	-0.0811222	1.04026	0.697428	-0.744716	0.607503	-1.05013	-0.336633	3
148	-0.538932	3.14262	-1.60463	-0.234898	0.55967	-1.19409	-0.973236	0.358628	1.26975	-1.13775	-1.23049	1
149	-0.657434	0.61272	-0.0346349	-0.353193	-0.538831	-0.958897	-1.37325	-0.778151	1.26975	0.789945	1.2073	4
150	0.0535775	-0.280185	-0.282528	-0.451772	0.376586	-0.723701	-0.526157	-0.00915324	-1.31302	-0.962507	-0.905451	3
151	1.2386	-0.57782	0.378521	0.317146	-0.126893	0.628672	0.32094	-0.209761	-0.452095	-1.48824	0.801005	4
152	0.883091	-0.974667	1.03957	0.750895	0.422357	1.33426	-0.0790779	0.927018	-0.319645	-0.524394	-0.499152	3
153	0.0535775	-0.280185	-0.282528	-0.451772	0.376586	-0.723701	-0.526157	-0.00915324	-1.31302	-0.962507	-0.905451	3
154	0.409083	-0.974667	0.626414	-1.02353	0.101961	0.334678	-0.973236	-0.711281	-0.319645	-0.349149	-0.0928532	2
155	1.5941	-0.478608	0.543783	0.218567	0.147732	-1.37049	-1.46738	0.860148	-0.849445	3.06813	-0.661672	3
156	0.646087	-0.379397	0.709045	1.5001	0.925836	0.74627	1.40334	1.2948	-1.97527	-0.612016	-1.31175	3
157	0.646087	-0.379397	0.709045	1.5001	0.925836	0.74627	1.40334	1.2948	-1.97527	-0.612016	-1.31175	3
158	-0.894438	0.414297	-0.778315	-0.964385	-0.447289	0.158281	-0.337913	-1.41341	0.673728	-0.612016	1.53234	4
159	-1.96096	1.60484	-2.43094	-0.984101	-0.447289	0.452276	-0.455566	-1.54715	1.1373	-1.40062	1.28856	5
160	-1.96096	1.60484	-2.43094	-0.984101	-0.447289	0.452276	-0.455566	-1.54715	1.1373	-1.40062	1.28856	5
161	-0.894438	0.414297	-0.778315	-0.964385	-0.447289	0.158281	-0.337913	-1.41341	0.673728	-0.612016	1.53234	4
162	-0.538932	-0.57782	1.86588	1.59868	0.422357	-0.488506	0.485654	1.32823	-1.37924	-0.787262	-1.14923	2
163	-0.657434	0.811144	-0.282528	-0.313761	0.147732	-1.25289	-1.2556	-0.276631	0.607503	-0.874884	0.0696664	2
164	0.646087	-0.379397	0.709045	1.5001	0.925836	0.74627	1.40334	1.2948	-1.97527	-0.612016	-1.31175	3
165	-0.183426	-0.379397	0.130627	1.32266	0.193503	1.68705	1.56806	0.993887	-0.25342	0.0889643	-0.824192	2
166	0.172079	-0.478608	0.213258	1.30294	0.239274	2.15744	0.909202	1.06076	-0.187196	0.00134171	-0.580412	2
167	1.83111	-0.0817616	1.03957	0.455157	0.101961	0.21708	1.37981	1.12763	-0.319645	0.877568	-0.742932	3
168	-0.183426	1.80326	-1.2741	-0.786942	-0.538831	-0.606103	-0.949706	-1.48028	-0.716995	-0.436771	1.69486	4
169	0.764589	0.116662	-0.199897	0.504447	0.422357	-0.900098	0.29741	0.927018	-0.716995	0.439455	-0.986711	2
170	3.49013	1.40641	1.20483	0.68189	-0.538831	-1.78208	-0.66734	0.592671	-2.10772	-1.75111	-0.417892	2
171	0.290581	0.215874	1.03957	-0.964385	0.925836	-0.370908	-0.126139	-1.14593	-0.452095	0.439455	1.77612	3
172	1.2386	-0.875455	0.956938	-0.964385	-0.0353514	-1.07649	-0.996767	-0.778151	-0.38587	-0.874884	0.394706	3
173	0.883091	2.00168	0.29589	-1.1024	-0.401518	-1.84088	-0.902645	-1.27967	-1.04812	-0.874884	0.719745	1
174	-0.657434	-0.57782	0.791676	-0.363051	-0.355747	-0.25331	-0.19673	-0.744716	1.07108	-1.40062	0.801005	4
175	0.764589	-0.0817616	-0.199897	2.22959	0.239274	-0.135713	0.81508	1.66258	-0.65077	1.31568	-0.255373	2
176	0.0535775	-0.478608	0.543783	0.218567	-0.264206	0.863868	0.29741	-0.443804	-0.51832	-1.92636	0.719745	3
177	0.409083	0.414297	1.1222	-0.254614	-0.0811222	-0.958897	-1.72621	-1.01219	-1.04812	-0.699639	1.69486	1
178	-1.13144	-0.478608	-0.282528	1.28322	0.376586	1.27546	0.744489	1.06076	0.607503	-0.874884	-0.905451	2
179	-1.01294	3.88671	-2.18304	-1.02353	0.651211	-1.54688	-0.714401	-0.310065	-0.51832	-1.22537	-1.47427	1
180	-0.538932	-0.280185	-0.117266	-0.17575	0.147732	0.334678	0.885672	0.325194	0.0114792	1.66617	-1.06797	3
181	-0.538932	0.513509	-0.199897	-0.17575	0.101961	0.393477	0.81508	0.358628	0.0114792	1.49093	-0.986711	3
182	0.290581	0.61272	-1.52199	-1.02353	0.330815	1.51065	1.05039	-0.142892	-0.65077	-0.524394	-1.06797	2
183	-0.0649244	0.0174502	0.543783	3.07737	0.101961	0.74627	0.673898	2.33127	-1.71037	0.0889643	-1.47427	2
184	0.0535775	-0.0817616	0.543783	1.5001	0.193503	1.68705	2.08573	1.2948	-0.0547457	0.789945	-0.742932	3
185	-0.0649244	-0.180973	1.86588	1.08607	-0.126893	1.68705	2.0622	0.993887	-1.11434	1.22806	-0.986711	2
186	-0.0649244	0.116662	1.86588	1.08607	-0.126893	1.80465	2.15632	1.06076	-1.11434	1.22806	-0.986711	2
187	-0.183426	-0.379397	0.626414	0.593169	-0.264206	0.805069	0.650367	0.458932	-0.452095	1.05281	-0.499152	3
188	-1.13144	0.215874	-0.860946	-0.432056	-0.355747	0.393477	-0.455566	-0.544108	-0.25342	0.0889643	0.394706	2
189	-0.0649244	2.49774	0.130627	-0.51092	-0.538831	-0.547305	-0.69087	-1.14593	0.475053	0.702322	1.77612	5
190	-0.42043	0.0174502	-0.44779	0.415726	0.0561903	1.09906	1.68571	0.72641	-0.65077	0.439455	-1.31175	1
191	-0.301928	0.0174502	-0.44779	0.415726	0.285045	1.15786	1.70924	0.72641	-0.65077	0.527077	-1.31175	3
192	-0.0649244	0.0174502	0.543783	3.07737	0.101961	0.74627	0.673898	2.33127	-1.71037	0.0889643	-1.47427	2
193	-0.0649244	0.0174502	0.213258	0.317146	-0.0353514	-0.429707	-0.361444	-0.410369	-1.11434	-1.05013	0.719745	3
194	-0.301928	-1.2723	0.0479962	-0.254614	0.422357	-0.0769139	-0.314383	0.0577161	1.1373	-0.612016	-0.742932	2
195	-0.538932	0.116662	0.874307	-0.550352	7.05913	2.33384	1.00332	0.0577161	-1.11434	-0.699639	-1.14923	2
196	-0.538932	0.215874	0.956938	-0.570067	6.92182	2.39264	0.979794	0.0577161	-1.11434	-0.874884	-1.14923	3
197	-0.538932	0.116662	0.874307	-0.550352	6.92182	2.33384	1.05039	0.0577161	-1.18057	-0.962507	-1.14923	2
198	-0.0649244	-0.180973	-0.778315	0.277715	0.285045	1.09906	1.77983	0.692975	-0.38587	-0.173903	-1.31175	2
199	0.290581	0.414297	-0.778315	1.32266	0.193503	0.981465	1.54453	1.32823	-0.584545	0.00134171	-1.39301	2
200	-0.0649244	-0.180973	-0.778315	0.277715	0.285045	1.09906	1.77983	0.692975	-0.38587	-0.173903	-1.31175	2
201	-0.0649244	-0.0817616	-0.613053	1.91413	0.147732	1.15786	1.35628	1.46197	-0.25342	0.0889643	-0.986711	2
202	0.290581	0.414297	-0.778315	1.32266	0.193503	0.981465	1.54453	1.32823	-0.584545	0.00134171	-1.39301	2
203	0.0535775	2.59695	-0.117266	1.34237	0.193503	1.04026	2.2975	1.09419	0.0777041	0.0889643	-0.742932	2
204	-0.0649244	-0.180973	0.0479962	1.48038	-0.538831	0.21708	-0.102608	0.291759	0.938628	0.351832	1.2073	3
205	-1.24994	0.0174502	0.130627	-0.806658	0.330815	0.0406838	-0.573218	-0.544108	0.607503	0.0889643	-0.255373	1
206	-0.538932	-0.677032	1.37009	1.02692	-0.172664	0.569873	0.344471	1.06076	-0.25342	-0.524394	-1.39301	2
207	0.172079	-1.17309	-0.117266	0.376294	-0.0353514	0.158281	-0.290852	0.592671	0.143929	-1.313	-1.06797	2
208	3.96414	1.60484	4.51008	-0.0377391	0.147732	-0.900098	-0.337913	0.927018	-1.31302	0.176587	-0.499152	1
209	-0.0649244	2.89459	-0.365159	-0.826374	-0.264206	-1.19409	-1.44385	-0.0760226	0.872403	2.19191	-0.255373	2
210	-0.894438	1.20799	-0.199897	-1.08268	0.101961	-0.723701	0.744489	-0.3435	0.210154	2.45477	-0.824192	3
211	-1.48695	-0.329791	-0.695684	0.652316	-0.630372	-1.37049	-1.65562	-0.00915324	0.806178	-1.313	-0.0115934	2
212	-0.0649244	-0.974667	0.378521	-0.984101	-0.355747	-0.018115	-0.643809	-0.744716	0.872403	0.877568	0.557225	4
