	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	clase
27	-0.765038	-0.93081	-1.78269	-0.915618	-0.347713	-0.627042	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.092853	-0.181836	-0.894654	1
28	0.135135	-0.345253	-1.78269	0.170375	1.66	-0.054805	0.953958	1.15631	-0.287892	1.08712	0.237655	-0.0233185	3.26474	1.11613	1
29	-0.0757768	1.45461	0.542556	0.170375	-0.347713	-0.0667578	0.953958	1.15631	-0.287892	-0.918529	0.237655	0.209025	-0.191625	1.11613	0
30	-0.716106	-0.453727	0.542556	0.170375	-0.347713	-0.340177	0.953958	1.15631	1.76848	1.08712	0.237655	-0.720347	0.223914	1.11613	1
31	-0.385396	-0.805262	0.542556	0.170375	1.66	0.605584	0.953958	1.15631	0.123382	1.08712	0.237655	0.743413	-0.166481	1.11613	1
32	-0.940517	1.15329	-1.78269	1.79936	1.66	-0.664395	-1.04674	-0.86357	-0.493529	1.08712	0.237655	-0.174341	-0.18913	-0.894654	0
33	1.75157	-0.679713	-1.78269	0.170375	1.66	2.16243	0.953958	-0.86357	-0.493529	1.08712	0.237655	0.092853	-0.176078	-0.894654	1
34	-0.716106	1.35417	0.542556	0.441873	1.66	-0.0294055	0.953958	1.15631	1.76848	1.08712	0.237655	0.615625	-0.140762	1.11613	1
35	0.9501	-0.704823	0.542556	-0.101123	-0.347713	3.48171	-1.04674	1.15631	-0.287892	1.08712	0.237655	0.975756	-0.173775	-0.894654	1
36	3.64978	2.86075	-1.78269	-1.73011	-1.8535	-0.652442	-1.04674	1.15631	-0.0822548	-0.918529	0.237655	-1.06886	-0.127903	-0.894654	1
37	-0.554126	1.55505	0.542556	-0.372622	-0.347713	0.232061	0.953958	-0.86357	-0.493529	1.08712	-3.10892	-0.95269	-0.195272	1.11613	1
38	0.675914	1.83929	0.542556	0.441873	-0.347713	1.91291	0.953958	1.15631	0.740293	1.08712	0.237655	-0.662262	-0.195272	1.11613	1
39	1.36518	0.651099	0.542556	0.170375	-0.347713	1.6888	0.953958	1.15631	0.740293	1.08712	0.237655	-1.06886	0.0465662	1.11613	0
40	1.33734	-0.353288	0.542556	1.79936	-0.347713	3.48171	0.953958	1.15631	-0.0822548	1.08712	0.237655	1.94579	0.131785	1.11613	0
41	-0.708513	-0.95592	0.542556	1.52787	-0.347713	-0.638995	0.953958	-0.86357	-0.493529	-0.918529	0.237655	-1.06886	-0.195272	1.11613	1
42	-0.758289	-0.654604	-1.78269	-0.372622	-0.347713	-0.503033	-1.04674	-0.86357	-0.493529	1.08712	0.237655	-0.371833	-0.182412	-0.894654	1
43	-0.406487	-0.729933	0.542556	1.79936	1.66	-0.290872	0.953958	-0.86357	-0.493529	-0.918529	0.237655	-1.06886	0.821599	1.11613	1
44	2.67958	-0.847446	0.542556	0.170375	-0.347713	-0.489586	0.953958	1.15631	0.123382	1.08712	0.237655	-0.0233185	-0.195272	-0.894654	1
45	-0.659582	-0.872556	-1.78269	0.170375	-0.347713	-0.652442	-1.04674	1.15631	-0.0822548	-0.918529	0.237655	-0.325364	-0.19412	-0.894654	1
46	-0.912676	1.10307	0.542556	0.98487	-0.347713	-0.452234	0.953958	1.15631	-0.0822548	1.08712	0.237655	-0.784242	-0.195272	1.11613	0
47	-0.596308	-0.604384	-1.78269	0.170375	-0.347713	-0.61509	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.30213	-0.195272	-0.894654	0
48	-1.29907	-0.947885	0.542556	0.170375	-0.347713	-0.652442	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-1.06886	-0.195272	1.11613	1
49	-0.174484	-0.554165	-1.78269	0.713372	1.66	-0.0667578	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.418133	-0.192009	-0.894654	0
50	1.79375	2.05724	0.542556	0.170375	-0.347713	0.979107	0.953958	1.15631	2.38539	-0.918529	0.237655	-1.06886	0.226985	1.11613	0
51	0.0642689	-0.252849	0.542556	-0.915618	-0.347713	-0.514985	-1.04674	-0.86357	-0.493529	1.08712	0.237655	0.278727	-0.195272	-0.894654	1
52	-0.884836	-0.127301	-1.78269	-1.18712	1.66	-0.652442	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.255661	-0.176078	-0.894654	1
53	-0.286689	-0.93081	-1.78269	-0.915618	-0.347713	-0.638995	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.18579	0.207791	-0.894654	1
54	-1.06031	-0.604384	-1.78269	0.170375	-0.347713	0.0333464	-1.04674	-0.86357	-0.493529	1.08712	0.237655	-0.418302	-0.19412	-0.894654	1
55	-0.336464	-0.303069	-1.78269	0.98487	1.66	0.855097	-1.04674	1.15631	-0.0822548	1.08712	0.237655	1.0745	-0.19508	-0.894654	1
56	-0.315373	-0.654604	0.542556	0.441873	-0.347713	-0.0667578	0.953958	1.15631	1.76848	1.08712	0.237655	1.45206	-0.188554	1.11613	1
57	0.711348	0.349783	0.542556	-0.372622	0.154216	0.38147	0.953958	1.15631	-0.287892	-0.918529	0.237655	-1.06886	-0.0993043	1.11613	1
58	0.486093	-0.453727	0.542556	-1.18712	1.66	-0.601643	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.441367	-0.148056	-0.894654	0
59	0.92226	0.0313922	-1.78269	0.441873	-0.347713	0.281366	0.953958	-0.86357	-0.493529	1.08712	0.237655	-0.766816	0.0814983	1.11613	1
60	2.12446	1.50483	0.542556	-0.101123	-0.347713	-0.290872	0.953958	1.15631	0.329019	1.08712	0.237655	0.092853	-0.195272	1.11613	1
61	0.978784	0.0484667	0.542556	-1.18712	0.154216	0.00794684	-1.04674	-0.86357	-0.493529	1.08712	0.237655	-0.249853	-0.195272	-0.894654	1
62	-0.659582	-0.813297	0.542556	0.441873	-0.347713	-0.58969	-1.04674	1.15631	-0.287892	1.08712	0.237655	0.325196	-0.194504	-0.894654	0
63	-1.1025	-0.554165	0.542556	-1.18712	-0.347713	-0.216167	0.953958	1.15631	-0.0822548	-0.918529	0.237655	-0.371833	-0.137691	1.11613	1
64	0.78137	-0.252849	0.542556	-1.18712	0.154216	-0.514985	-1.04674	-0.86357	-0.493529	-0.918529	-3.10892	5.66908	-0.195272	-0.894654	0
65	-0.596308	-0.855481	0.542556	0.98487	1.66	-0.216167	0.953958	-0.86357	-0.493529	-0.918529	0.237655	0.557539	-0.0371174	1.11613	0
66	0.880077	1.01067	0.542556	1.79936	1.66	1.7142	0.953958	1.15631	1.15157	-0.918529	0.237655	-1.06886	-0.195272	1.11613	1
67	-1.01813	-0.922775	0.542556	0.98487	-0.347713	-0.652442	-1.04674	-0.86357	-0.493529	1.08712	0.237655	1.1384	-0.195272	-0.894654	0
68	-0.849403	1.35417	0.542556	-1.18712	-0.347713	-0.514985	0.953958	-0.86357	-0.493529	1.08712	0.237655	-0.488004	-0.18222	-0.894654	1
69	-0.0268452	-0.386433	0.542556	-1.73011	-1.8535	-0.664395	-1.04674	1.15631	0.534656	-0.918529	0.237655	-0.0465528	-0.167249	-0.894654	1
70	-0.364305	-0.637529	0.542556	1.52787	1.66	-0.116063	0.953958	1.15631	1.97411	1.08712	0.237655	2.31754	-0.0584222	1.11613	1
71	1.44954	4.33418	-1.78269	-1.73011	-1.8535	-0.664395	0.953958	-0.86357	-0.493529	1.08712	0.237655	-1.06886	-0.195272	-0.894654	1
72	-0.096868	-0.679713	0.542556	0.441873	1.66	-0.652442	-1.04674	1.15631	0.123382	-0.918529	0.237655	-1.06886	-0.188938	-0.894654	0
73	-0.181233	-0.704823	0.542556	0.441873	-0.347713	-0.141462	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.092853	-0.195272	-0.894654	1
74	-0.27994	0.0565018	-1.78269	0.170375	0.154216	-0.216167	0.953958	1.15631	1.15157	1.08712	0.237655	-0.232427	-0.193928	1.11613	1
75	0.732439	3.36294	0.542556	0.713372	2.16193	5.31197	0.953958	1.15631	1.76848	-0.918529	0.237655	-1.06886	0.0350501	1.11613	1
76	0.41607	-0.102191	0.542556	0.98487	-0.347713	0.38147	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	1.56823	-0.185675	-0.894654	1
77	-0.505194	-0.888626	0.542556	-0.915618	1.66	0.38147	-1.04674	-0.86357	-0.493529	1.08712	0.237655	0.906053	-0.195272	-0.894654	1
78	-0.146643	-0.252849	0.542556	0.170375	-0.347713	-0.61509	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.18579	-0.195272	-0.894654	1
79	-0.716106	-0.95592	0.542556	-0.915618	-0.347713	-0.365576	-1.04674	1.15631	1.76848	-0.918529	-3.10892	-1.06886	-0.195272	-0.894654	1
80	0.0507705	-0.662639	0.542556	0.441873	-0.347713	-0.340177	0.953958	1.15631	2.79666	-0.918529	0.237655	-0.371833	0.203761	1.11613	0
81	-0.539784	-0.252849	0.542556	1.52787	-0.347713	-0.477633	0.953958	1.15631	0.94593	-0.918529	0.237655	-1.06886	1.1596	1.11613	1
82	0.303865	-0.20263	0.542556	-1.73011	-1.8535	-0.664395	-1.04674	1.15631	0.740293	-0.918529	0.237655	-1.06886	-0.156885	-0.894654	0
83	-1.09575	1.05285	0.542556	-1.45861	-0.347713	-0.540385	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.604176	-0.18721	-0.894654	0
84	0.704598	0.0484667	0.542556	-1.18712	0.154216	-0.601643	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	2.12585	-0.195272	-0.894654	1
85	-0.687422	-0.755042	0.542556	0.170375	-0.347713	-0.514985	-1.04674	-0.86357	-0.493529	1.08712	-3.10892	0.557539	-0.195272	-0.894654	1
86	0.507185	-0.95592	0.542556	0.170375	-0.347713	-0.664395	-1.04674	-0.86357	-0.493529	-0.918529	3.58423	-8.41822e-05	-0.195272	1.11613	1
87	-0.575217	1.78907	0.542556	0.98487	1.66	-0.216167	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.557539	-0.19508	-0.894654	0
88	1.3019	1.65549	0.542556	-1.18712	0.154216	0.879003	0.953958	1.15631	1.3572	1.08712	0.237655	-1.06886	-0.195272	1.11613	0
89	0.2195	0.0986861	0.542556	0.441873	-0.347713	-0.638995	-1.04674	-0.86357	-0.493529	1.08712	0.237655	0.615625	-0.19412	1.11613	1
90	-0.792878	-0.838407	-1.78269	-1.73011	-1.8535	-0.664395	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.488004	-0.195272	-0.894654	1
91	-0.322122	-0.696788	0.542556	-0.915618	1.66	-0.58969	-1.04674	-0.86357	-0.493529	1.08712	-3.10892	-0.255661	-0.195272	-0.894654	1
92	0.943351	-0.135336	0.542556	-0.372622	-0.347713	-0.652442	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.441536	-0.176078	-0.894654	1
93	-0.244507	1.9568	0.542556	-1.45861	-0.347713	-0.627042	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-1.06886	-0.140378	-0.894654	1
94	0.394979	0.0484667	0.542556	0.170375	0.154216	0.0826515	0.953958	1.15631	0.740293	-0.918529	0.237655	-1.06886	-0.124832	1.11613	1
95	-1.13034	1.05285	-1.78269	0.98487	1.66	-0.61509	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.906053	-0.195272	-0.894654	0
96	-0.870494	-0.654604	0.542556	0.441873	-0.347713	-0.216167	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.197576	-0.193736	1.11613	1
97	0.620234	-0.621459	0.542556	-0.372622	-0.347713	-0.58969	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-1.06886	-0.120417	-0.894654	0
98	0.0220865	-0.947885	-1.78269	-0.101123	-0.347713	-0.652442	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-1.06886	-0.195272	-0.894654	1
99	-1.2012	0.952415	0.542556	-0.372622	-0.347713	-0.141462	-1.04674	1.15631	1.56284	1.08712	0.237655	-1.06886	-0.193352	-0.894654	0
100	-0.940517	-0.788187	0.542556	0.98487	-0.347713	-0.190767	0.953958	1.15631	-0.287892	-0.918529	0.237655	-1.06886	-0.195272	1.11613	0
101	0.633732	-0.152411	0.542556	0.170375	-0.347713	0.232061	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	1.71925	-0.195272	-0.894654	0
102	0.599142	-0.913736	0.542556	-0.915618	-0.347713	-0.638995	0.953958	-0.86357	-0.493529	1.08712	0.237655	0.557539	-0.195272	1.11613	1
103	-0.328871	1.80614	0.542556	0.441873	-0.347713	1.05381	0.953958	-0.86357	-0.493529	1.08712	0.237655	1.75991	-0.0993043	1.11613	1
104	-0.322122	-0.838407	-1.78269	1.52787	-0.347713	-0.58969	0.953958	1.15631	-0.0822548	-0.918529	0.237655	0.441367	-0.0993043	1.11613	1
105	-1.06031	-0.95592	-1.78269	-1.73011	-1.8535	-0.664395	-1.04674	1.15631	0.329019	-0.918529	0.237655	-0.807476	-0.19508	-0.894654	1
106	-0.554126	-0.780152	0.542556	1.79936	1.66	-0.353624	0.953958	-0.86357	-0.493529	1.08712	0.237655	-0.13949	0.929466	1.11613	0
107	-0.328871	-0.554165	0.542556	1.79936	1.66	-0.365576	0.953958	1.15631	0.329019	-0.918529	0.237655	-0.255661	1.25268	1.11613	1
108	-0.786129	0.851976	0.542556	-0.372622	-0.347713	-0.638995	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-1.06886	-0.195272	-0.894654	1
109	1.54065	1.773	0.542556	-0.915618	1.66	1.87556	0.953958	-0.86357	-0.493529	1.08712	0.237655	-1.06886	-0.195272	1.11613	0
110	0.0642689	-0.453727	0.542556	0.170375	-0.347713	-0.290872	-1.04674	-0.86357	-0.493529	1.08712	0.237655	0.557539	-0.195272	-0.894654	1
111	0.563709	1.07796	-1.78269	-0.915618	-0.347713	-0.627042	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.13949	-0.195272	-0.894654	1
112	1.32974	0.349783	0.542556	0.170375	-0.347713	-0.365576	-1.04674	-0.86357	-0.493529	1.08712	0.237655	-1.06886	-0.151511	-0.894654	1
113	-0.315373	-0.152411	-1.78269	-1.18712	1.66	1.05381	0.953958	1.15631	-0.0822548	1.08712	0.237655	-0.633219	-0.195272	-0.894654	1
114	0.352797	-0.772117	0.542556	-0.372622	-0.347713	-0.440281	0.953958	1.15631	0.329019	-0.918529	0.237655	-1.06886	0.108561	1.11613	0
115	0.169725	-0.9057	0.542556	-1.18712	0.154216	0.530879	-1.04674	-0.86357	-0.493529	1.08712	-3.10892	1.37074	-0.195272	-0.894654	1
116	0.211907	-0.93985	-1.78269	-0.101123	0.154216	-0.652442	0.953958	1.15631	-0.287892	1.08712	0.237655	0.557539	0.188598	1.11613	1
117	-0.912676	1.12015	0.542556	1.52787	1.66	-0.564291	0.953958	1.15631	-0.287892	1.08712	0.237655	-0.604176	-0.185675	1.11613	0
118	0.135135	-0.755042	0.542556	1.79936	-0.347713	-0.440281	0.953958	1.15631	0.94593	1.08712	0.237655	0.906053	0.586095	1.11613	1
119	-0.743947	1.25373	0.542556	0.98487	-0.347713	0.0826515	0.953958	1.15631	0.94593	1.08712	0.237655	-0.488004	-0.0399964	1.11613	1
120	1.44954	0.751537	0.542556	0.170375	1.66	3.07084	0.953958	1.15631	1.3572	-0.918529	0.237655	-0.0175099	0.12238	1.11613	1
121	0.760279	0.0484667	0.542556	0.170375	-0.347713	0.829698	0.953958	1.15631	0.94593	-0.918529	0.237655	-1.06886	0.393008	1.11613	1
122	-0.919426	-0.788187	-1.78269	0.170375	-0.347713	-0.0667578	-1.04674	-0.86357	-0.493529	1.08712	-3.10892	0.325196	-0.195272	-0.894654	1
123	0.605891	-0.654604	0.542556	-1.73011	-1.8535	-0.664395	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.62741	-0.195272	-0.894654	0
124	2.1523	2.96119	0.542556	0.170375	-0.347713	0.979107	0.953958	1.15631	0.94593	-0.918529	0.237655	-1.06886	0.380533	1.11613	0
125	-0.0268452	-0.20263	0.542556	1.52787	1.66	-0.477633	0.953958	1.15631	1.3572	1.08712	0.237655	-0.0175099	-0.195272	1.11613	0
126	-0.80722	-0.797227	0.542556	0.441873	-0.347713	-0.577737	-1.04674	1.15631	-0.287892	-0.918529	0.237655	1.37074	-0.140954	-0.894654	1
127	2.25776	1.05285	0.542556	0.98487	-0.347713	0.530879	0.953958	1.15631	2.38539	-0.918529	0.237655	-1.06886	0.112208	1.11613	0
128	-0.223415	-0.880591	0.542556	0.170375	-0.347713	-0.577737	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.209025	-0.168401	-0.894654	1
129	1.21754	-0.152411	0.542556	-0.64412	-0.849641	-0.664395	0.953958	-0.86357	-0.493529	-0.918529	0.237655	-0.488004	-0.0110143	1.11613	0
130	-0.891585	-0.353288	-1.78269	-1.45861	-0.347713	-0.340177	0.953958	1.15631	1.15157	1.08712	0.237655	-0.13949	-0.19508	1.11613	1
131	-0.575217	1.55505	0.542556	-0.372622	-0.347713	-0.216167	0.953958	1.15631	1.97411	1.08712	0.237655	-0.371833	-0.0864447	1.11613	0
132	-0.905927	-0.855481	-1.78269	0.713372	-1.35157	-0.365576	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.441367	-0.195272	-0.894654	0
133	-0.589559	1.75592	-1.78269	-1.73011	-1.8535	-0.664395	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-8.41822e-05	-0.195272	-0.894654	1
134	-0.427578	-0.411542	-1.78269	0.170375	-0.347713	-0.638995	-1.04674	-0.86357	-0.493529	-0.918529	-3.10892	-0.604176	-0.195272	-0.894654	0
135	0.788963	-0.788187	0.542556	-1.73011	-1.8535	-0.664395	0.953958	-0.86357	-0.493529	-0.918529	0.237655	-0.313747	-0.19508	-0.894654	1
136	0.570458	-0.0690465	0.542556	0.170375	-0.347713	-0.627042	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.13949	-0.195272	-0.894654	0
137	-1.01138	-0.838407	0.542556	-1.73011	-1.8535	-0.664395	-1.04674	1.15631	0.123382	-0.918529	0.237655	0.964139	-0.0476738	-0.894654	1
138	0.648074	0.952415	0.542556	-0.101123	-0.347713	1.27793	0.953958	1.15631	2.38539	-0.918529	0.237655	0.325196	0.688972	1.11613	1
139	-0.490852	-0.855481	0.542556	0.170375	-0.347713	-0.22812	0.953958	1.15631	0.534656	1.08712	0.237655	0.743413	-0.195272	1.11613	1
140	1.22429	-0.353288	0.542556	0.170375	-0.347713	0.0452991	0.953958	1.15631	1.15157	1.08712	0.237655	1.23133	0.602985	1.11613	0
141	-1.00379	1.05285	-1.78269	-0.915618	1.66	-0.414881	0.953958	-0.86357	-0.493529	1.08712	0.237655	-0.255661	-0.195272	-0.894654	1
142	-0.786129	-0.704823	-1.78269	-1.73011	-1.8535	0.306765	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.557539	-0.195272	-0.894654	0
143	-1.07466	-0.244814	-1.78269	-1.73011	-1.8535	-0.664395	-1.04674	-0.86357	-0.493529	1.08712	0.237655	-0.0233185	-0.19508	-0.894654	1
144	2.74285	3.06163	0.542556	1.79936	1.66	4.56493	0.953958	1.15631	1.3572	1.08712	0.237655	-1.06886	-0.00333688	1.11613	1
145	-1.27123	-0.704823	0.542556	0.98487	-0.347713	-0.58969	-1.04674	1.15631	-0.287892	-0.918529	0.237655	-0.441536	-0.176462	-0.894654	0
146	3.13009	2.05724	0.542556	0.713372	2.16193	-0.664395	0.953958	1.15631	2.38539	-0.918529	0.237655	-1.06886	0.4527	1.11613	0
147	3.81176	3.52164	0.542556	0.713372	2.16193	3.14554	0.953958	1.15631	-0.287892	1.08712	0.237655	-1.06886	-0.174351	1.11613	1
148	-1.32016	-0.378398	0.542556	0.98487	-0.347713	-0.638995	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.371833	-0.195272	-0.894654	0
149	0.275181	-0.152411	0.542556	-1.45861	0.154216	3.07084	0.953958	-0.86357	-0.493529	1.08712	0.237655	-8.41822e-05	-0.195272	-0.894654	1
150	1.33734	0.651099	0.542556	0.713372	0.154216	1.27793	0.953958	1.15631	0.740293	-0.918529	0.237655	1.10935	9.6126	1.11613	0
151	-0.708513	-0.95592	0.542556	0.170375	-0.347713	-0.664395	-1.04674	-0.86357	-0.493529	-0.918529	3.58423	-8.41822e-05	-0.195272	1.11613	1
152	1.14751	-0.654604	0.542556	0.170375	-0.347713	0.0826515	0.953958	-0.86357	-0.493529	1.08712	0.237655	-0.255661	-0.195272	-0.894654	1
153	-1.38343	0.450221	0.542556	0.713372	-0.347713	-0.365576	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	2.41628	-0.195272	-0.894654	1
154	-1.07466	-0.872556	-1.78269	0.170375	-0.347713	-0.61509	-1.04674	1.15631	-0.287892	-0.918529	0.237655	0.092853	-0.19508	-0.894654	1
155	1.76591	0.349783	0.542556	-0.915618	-0.347713	1.21517	0.953958	1.15631	2.59103	-0.918529	0.237655	-1.06886	1.95478	1.11613	1
156	-1.04597	-0.95592	-1.78269	-0.101123	0.154216	-0.664395	-1.04674	-0.86357	-0.493529	1.08712	-3.10892	1.83543	-0.19508	1.11613	1
157	-1.14468	-0.922775	0.542556	0.98487	1.15807	-0.601643	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.092853	-0.187594	1.11613	1
158	0.500435	-0.788187	0.542556	0.713372	-0.347713	-0.652442	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.371833	-0.194312	-0.894654	1
159	-0.750696	-0.637529	-1.78269	0.441873	-0.347713	0.25746	0.953958	1.15631	0.740293	-0.918529	0.237655	-0.604176	-0.195272	1.11613	1
160	1.37192	-0.119266	0.542556	1.79936	0.154216	-0.638995	-1.04674	-0.86357	-0.493529	1.08712	0.237655	1.9516	-0.195272	-0.894654	1
161	0.211907	-0.453727	0.542556	0.170375	-0.347713	-0.365576	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	1.60308	-0.192201	-0.894654	1
162	0.127543	-0.629494	0.542556	-1.45861	-0.347713	-0.503033	-1.04674	-0.86357	-0.493529	1.08712	0.237655	-1.06886	-0.195272	-0.894654	0
163	0.971191	-0.880591	-1.78269	0.170375	-0.347713	-0.552338	0.953958	1.15631	1.15157	1.08712	0.237655	0.67371	-0.164178	1.11613	1
164	0.247341	-0.144375	-1.78269	-1.18712	0.154216	1.87556	0.953958	1.15631	0.94593	1.08712	0.237655	0.0638101	-0.195272	1.11613	1
165	0.943351	-0.353288	0.542556	-1.18712	0.154216	-0.365576	0.953958	-0.86357	-0.493529	-0.918529	0.237655	-1.06886	-0.156885	-0.894654	1
166	-1.12359	-0.922775	0.542556	-1.45861	-0.347713	-0.58969	-1.04674	-0.86357	-0.493529	1.08712	-3.10892	0.557539	-0.195272	-0.894654	1
167	-0.716106	-0.453727	0.542556	-1.73011	-1.8535	-0.638995	-1.04674	-0.86357	-0.493529	1.08712	0.237655	-0.488004	0.61239	-0.894654	1
168	-0.765038	0.743502	-1.78269	1.79936	-0.347713	0.0706987	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.116256	-0.195272	1.11613	0
169	-1.15143	-0.91474	0.542556	-0.372622	-0.347713	-0.652442	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.557539	-0.0513206	-0.894654	1
